Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,0.9.0,175,219,17,5,0,2,197,176,39.4,177,176,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java,0.9.0,44,44,17,2,0,1,44,44,22.0,44,44,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,0.9.0,79,109,17,4,0,2,94,79,23.5,79,79,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,0.9.0,44,44,17,2,0,1,44,44,22.0,44,44,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,0.9.0,164,225,17,5,0,2,195,163,39.0,167,163,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,0.9.0,152,177,17,6,0,2,165,154,27.5,155,154,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java,0.9.0,71,97,17,4,0,2,84,72,21.0,73,72,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,0.9.0,71,95,17,4,0,2,83,72,20.75,73,72,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,0.9.0,42,42,17,2,0,1,42,42,21.0,42,42,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,0.9.0,449,511,17,7,0,3,480,450,68.57142857142857,465,450,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,0.9.0,44,44,17,2,0,1,44,44,22.0,44,44,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,0.9.0,29,29,17,2,0,1,29,29,14.5,29,29,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java,0.9.0,53,57,17,3,0,2,55,54,18.333333333333332,55,54,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java,0.9.0,58,62,17,3,0,2,60,59,20.0,60,59,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,0.9.0,87,95,17,3,0,2,91,87,30.333333333333332,87,87,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java,0.9.0,133,161,17,4,0,2,147,133,36.75,133,133,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,0.9.0,165,220,17,5,0,2,193,163,38.6,166,163,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,0.9.0,40,43,17,3,0,2,42,41,14.0,41,41,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,0.9.0,40,43,17,3,0,2,42,41,14.0,41,41,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java,0.9.0,85,109,17,4,0,2,97,86,24.25,87,86,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java,0.9.0,76,92,17,3,0,2,84,76,28.0,76,76,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java,0.9.0,72,94,17,4,0,2,83,73,20.75,74,73,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,0.9.0,53,59,17,3,0,2,56,53,18.666666666666668,53,53,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,0.9.0,107,133,17,4,0,2,120,107,30.0,107,107,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,0.9.0,680,734,17,7,0,2,707,633,101.0,682,633,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,0.9.0,117,125,17,3,0,2,121,117,40.333333333333336,117,117,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,0.9.0,68,72,17,3,0,2,70,69,23.333333333333332,70,69,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java,0.9.0,38,38,17,2,0,1,38,38,19.0,38,38,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,0.9.0,36,36,17,2,0,1,36,36,18.0,36,36,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,0.9.0,344,444,17,9,0,2,394,352,43.77777777777778,370,352,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,0.9.0,57,69,17,4,0,2,63,58,15.75,59,58,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,0.9.0,40,41,17,2,0,1,41,41,20.5,41,41,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,0.9.0,266,308,17,4,0,2,287,266,71.75,266,266,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,0.9.0,139,188,17,5,0,2,164,138,32.8,140,138,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java,0.9.0,60,61,17,2,0,1,61,61,30.5,61,61,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,0.9.0,222,342,17,5,0,2,282,238,56.4,254,238,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,0.9.0,159,220,17,5,0,2,190,158,38.0,162,158,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java,0.9.0,51,53,17,3,0,2,52,51,17.333333333333332,51,51,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,0.9.0,48,49,17,2,0,1,49,49,24.5,49,49,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,0.9.0,48,49,17,2,0,1,49,49,24.5,49,49,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,0.9.0,198,253,17,5,0,2,226,196,45.2,199,196,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,0.9.0,165,228,17,6,0,2,197,171,32.833333333333336,180,171,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,0.9.0,156,192,17,4,0,2,174,161,43.5,166,161,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,0.9.0,192,230,17,4,0,2,211,188,52.75,192,188,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,0.9.0,957,957,17,2,0,1,957,957,478.5,957,957,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,0.9.0,341,341,17,2,0,1,341,341,170.5,341,341,no
