Key,Injected Version,Opening Version,Fixed Version, Affected Version List
BOOKKEEPER-512,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-513,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-514,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-520,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-522,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-530,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-531,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-532,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-533,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-534,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-538,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-539,4.0.0,4.1.1,4.1.1,[org.example.entities.Release@7ea37dbf, org.example.entities.Release@70be0a2b]
BOOKKEEPER-543,4.1.0,4.1.1,4.1.1,[org.example.entities.Release@70be0a2b]
BOOKKEEPER-544,4.1.0,4.1.1,4.2.2,[org.example.entities.Release@70be0a2b, org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-548,4.1.1,4.2.0,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-549,4.1.1,4.2.0,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-554,4.2.0,4.2.1,4.2.1,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-556,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-557,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-559,4.2.0,4.2.1,4.2.1,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-561,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-567,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-568,4.2.0,4.2.1,4.2.1,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-569,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-578,4.1.1,4.2.1,4.4.0,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9, org.example.entities.Release@1d082e88, org.example.entities.Release@60704c]
BOOKKEEPER-579,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-580,4.2.0,4.2.1,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-581,4.2.0,4.2.1,4.2.1,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-584,4.2.0,4.2.1,4.2.2,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-585,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-586,4.1.1,4.2.1,4.2.1,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd]
BOOKKEEPER-594,4.1.1,4.2.1,4.4.0,[org.example.entities.Release@2133814f, org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9, org.example.entities.Release@1d082e88, org.example.entities.Release@60704c]
BOOKKEEPER-596,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-597,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-598,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-599,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-600,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-601,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-602,4.2.0,4.2.2,4.2.3,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-603,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-604,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-607,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-610,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-617,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-619,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-620,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-623,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957, org.example.entities.Release@1e730495]
BOOKKEEPER-624,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-626,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957, org.example.entities.Release@1e730495]
BOOKKEEPER-632,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957, org.example.entities.Release@1e730495]
BOOKKEEPER-635,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-636,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957, org.example.entities.Release@1e730495]
BOOKKEEPER-641,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-642,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-646,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-649,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-652,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-654,4.2.0,4.2.2,4.2.3,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-663,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
BOOKKEEPER-664,4.2.1,4.2.2,4.3.0,[org.example.entities.Release@23986957]
BOOKKEEPER-667,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957]
BOOKKEEPER-668,4.2.1,4.2.2,4.2.2,[org.example.entities.Release@23986957, org.example.entities.Release@1e730495]
BOOKKEEPER-673,4.2.1,4.2.2,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-676,4.2.1,4.2.2,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-678,4.2.1,4.2.2,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-683,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd, org.example.entities.Release@23986957]
